Ordem de inscrição;Tipo de ingresso;Valor;Data compra
6;Primeiro Lote;R$ 25,00;2017-02-14 11:55:07
34;Segundo Lote;R$ 30,00;2017-03-13 20:47:37
47;Terceiro Lote;R$ 35,00;2017-03-16 09:48:30
48;Terceiro Lote;R$ 35,00;2017-03-16 09:48:30
46;Terceiro Lote;R$ 32,00;2017-03-15 21:32:04
30;Segundo Lote;R$ 30,00;2017-03-13 19:46:55
3;Primeiro Lote;R$ 25,00;2017-01-26 20:23:07
1;Lote Exclusivo;R$ 20,00;2017-01-26 20:51:51
60;Lista de Espera;R$ 0,00;2017-03-17 12:33:56
11;Primeiro Lote;R$ 25,00;2017-02-21 00:29:20
66;Lista de Espera;R$ 0,00;2017-03-17 18:39:24
59;Lista de Espera;R$ 0,00;2017-03-17 11:51:51
38;Segundo Lote;R$ 30,00;2017-03-13 23:24:27
50;Terceiro Lote;R$ 35,00;2017-03-16 14:24:53
57;Lista de Espera;R$ 0,00;2017-03-16 20:58:09
70;Extra Lista de Espera;R$ 35,00;2017-03-17 22:35:26
2;Lote Exclusivo;R$ 20,00;2017-01-28 23:30:07
9;Primeiro Lote;R$ 25,00;2017-02-15 21:34:11
5;Primeiro Lote;R$ 25,00;2017-02-12 14:57:33
62;Lista de Espera;R$ 0,00;2017-03-17 13:49:48
31;Segundo Lote;R$ 30,00;2017-03-13 19:46:55
67;Lista de Espera;R$ 0,00;2017-03-17 19:20:37
64;Lista de Espera;R$ 0,00;2017-03-17 14:28:18
7;Primeiro Lote;R$ 25,00;2017-02-14 11:55:07
54;Lista de Espera;R$ 0,00;2017-03-16 16:46:32
28;Segundo Lote;R$ 30,00;2017-03-13 19:32:09
35;Segundo Lote;R$ 0,00;2017-03-13 21:42:46
12;Primeiro Lote;R$ 25,00;2017-02-21 11:27:26
20;Segundo Lote;R$ 30,00;2017-03-13 12:47:44
22;Segundo Lote;R$ 0,00;2017-03-13 16:31:25
17;Primeiro Lote;R$ 0,00;2017-03-13 10:48:04
49;Terceiro Lote;R$ 35,00;2017-03-16 12:21:43
52;Lista de Espera;R$ 0,00;2017-03-16 15:46:27
53;Extra Lista de Espera;R$ 35,00;2017-03-16 16:21:59
32;Segundo Lote;R$ 0,00;2017-03-13 20:11:49
26;Segundo Lote;R$ 25,00;2017-03-13 19:19:51
65;Lista de Espera;R$ 0,00;2017-03-17 17:46:32
18;Segundo Lote;R$ 0,00;2017-03-13 11:05:40
69;Extra Lista de Espera;R$ 35,00;2017-03-17 19:22:48
15;Primeiro Lote;R$ 25,00;2017-03-10 17:25:54
44;Terceiro Lote;R$ 35,00;2017-03-15 18:06:40
19;Primeiro Lote;R$ 0,00;2017-03-13 11:41:17
27;Segundo Lote;R$ 30,00;2017-03-13 19:27:05
63;Lista de Espera;R$ 0,00;2017-03-17 14:28:18
4;Lote Exclusivo;R$ 20,00;2017-01-27 10:49:55
29;Segundo Lote;R$ 30,00;2017-03-13 19:32:09
37;Segundo Lote;R$ 0,00;2017-03-13 21:44:23
36;Segundo Lote;R$ 0,00;2017-03-13 21:44:23
23;Segundo Lote;R$ 0,00;2017-03-13 16:39:04
13;Primeiro Lote;R$ 25,00;2017-02-23 12:31:13
45;Terceiro Lote;R$ 35,00;2017-03-15 20:47:07
58;Lista de Espera;R$ 0,00;2017-03-17 09:54:01
33;Segundo Lote;R$ 0,00;2017-03-13 20:14:46
25;Segundo Lote;R$ 25,00;2017-03-13 19:19:00
24;Segundo Lote;R$ 30,00;2017-03-13 19:17:00
40;Terceiro Lote;R$ 31,00;2017-03-14 22:55:04
42;Terceiro Lote;R$ 35,00;2017-03-15 16:54:05
56;Lista de Espera;R$ 0,00;2017-03-16 19:13:37
68;Extra Lista de Espera;R$ 35,00;2017-03-17 19:22:48
55;Lista de Espera;R$ 0,00;2017-03-16 19:13:37
21;Segundo Lote;R$ 0,00;2017-03-13 12:51:30
43;Terceiro Lote;R$ 32,00;2017-03-15 17:31:29
14;Primeiro Lote;R$ 25,00;2017-03-10 16:45:54
16;Primeiro Lote;R$ 25,00;2017-03-10 17:30:14
10;Primeiro Lote;R$ 25,00;2017-02-20 13:19:19
41;Terceiro Lote;R$ 35,00;2017-03-15 16:11:41
51;Lista de Espera;R$ 0,00;2017-03-16 15:43:24
61;Extra Lista de Espera;R$ 35,00;2017-03-17 13:13:24
8;Primeiro Lote;R$ 25,00;2017-02-10 13:06:29
39;Terceiro Lote;R$ 0,00;2017-03-14 00:58:27
;Primeiro Lote;R$ 25,00;2017-02-23 22:53:42
;Primeiro Lote;R$ 25,00;2017-02-23 12:25:13
