Ordem de inscrição;Tipo de ingresso;Valor;Data compra;Check-in;Data Check-in (*);Qual seu nível de conhecimento sobre Data Science?;De que empresa/instituição você é?
39;Lista de espera;R$ 0,00;2019-02-06 19:54:33;Não;;Trabalho na área;UFCG
53;Lista de espera;R$ 0,00;2019-02-06 20:16:21;Não;;Sou iniciante, conheço alguns conceitos :);UFPE
56;Lista de espera;R$ 0,00;2019-02-06 20:20:22;Não;;Sou iniciante, conheço alguns conceitos :);UFPE - Estatística
71;Ingresso;R$ 0,00;2019-03-13 21:20:55;Não;;;
54;Lista de espera;R$ 0,00;2019-02-06 20:16:31;Sim;2019-03-18 20:26:58;Sou iniciante, conheço alguns conceitos :);
43;Lista de espera;R$ 0,00;2019-02-06 19:58:53;Não;;Sou iniciante, conheço alguns conceitos :);Phixa Tecnologia
34;Lista de espera;R$ 0,00;2019-02-06 19:53:08;Não;;Sou iniciante, conheço alguns conceitos :);Locomotive Creative Group
16;Ingresso;R$ 0,00;2019-02-05 22:44:13;Não;;Sou leigo(a), quero saber mais sobre a área! :D;
69;Lista de espera;R$ 0,00;2019-03-13 07:54:57;Não;;;
38;Lista de espera;R$ 0,00;2019-02-06 19:54:09;Não;;Trabalho na área;Universidade Federal de Campina Grande
72;Ingresso;R$ 0,00;2019-03-13 21:22:27;Sim;2019-03-18 20:27:57;;
48;Lista de espera;R$ 0,00;2019-02-06 20:03:52;Não;;Sou iniciante, conheço alguns conceitos :);Graduação Estatística - UFPE
55;Lista de espera;R$ 0,00;2019-02-06 20:19:43;Não;;Sou leigo(a), quero saber mais sobre a área! :D;UFCG
47;Lista de espera;R$ 0,00;2019-02-06 20:03:51;Não;;Sou iniciante, conheço alguns conceitos :);Universidade Federal de Campina Grande
23;Ingresso;R$ 0,00;2019-02-05 23:08:17;Sim;2019-03-18 20:26:43;Sou iniciante, conheço alguns conceitos :);
58;Lista de espera;R$ 0,00;2019-02-06 20:29:22;Não;;Sou leigo(a), quero saber mais sobre a área! :D;
68;Lista de espera;R$ 0,00;2019-03-13 07:50:04;Não;;Sou iniciante, conheço alguns conceitos :);UNIFG
59;Lista de espera;R$ 0,00;2019-02-06 20:29:57;Sim;2019-03-18 20:27:44;Sou iniciante, conheço alguns conceitos :);UFPE
40;Lista de espera;R$ 0,00;2019-02-06 19:54:40;Não;;Sou leigo(a), quero saber mais sobre a área! :D;UFCG
52;Lista de espera;R$ 0,00;2019-02-06 20:10:21;Sim;2019-03-18 20:28:17;Sou iniciante, conheço alguns conceitos :);Accenture
13;Ingresso;R$ 0,00;2019-02-05 22:41:29;Sim;2019-03-18 20:26:49;Sou leigo(a), quero saber mais sobre a área! :D;UFRPE
41;Lista de espera;R$ 0,00;2019-02-06 19:55:57;Não;;Sou leigo(a), quero saber mais sobre a área! :D;UFRPE
35;Lista de espera;R$ 0,00;2019-02-06 19:53:24;Não;;Sou iniciante, conheço alguns conceitos :);Ufpe
10;Ingresso;R$ 0,00;2019-02-05 22:38:36;Não;;Sou iniciante, conheço alguns conceitos :);FADE - Projeto CIN-Samsung
45;Lista de espera;R$ 0,00;2019-02-06 20:02:18;Não;;Sou iniciante, conheço alguns conceitos :);UFCG
65;Lista de espera;R$ 0,00;2019-03-13 07:47:48;Não;;;
67;Lista de espera;R$ 0,00;2019-03-13 07:47:48;Não;;;
62;Lista de espera VIP;R$ 0,00;2019-02-16 09:28:11;Não;;Sou leigo(a), quero saber mais sobre a área! :D;Porto Digital
51;Lista de espera;R$ 0,00;2019-02-06 20:08:41;Não;;Sou iniciante, conheço alguns conceitos :);Universidade Federal de Campina Grande
33;Lista de espera;R$ 0,00;2019-02-06 19:52:28;Não;;Sou iniciante, conheço alguns conceitos :);UFRPE
49;Lista de espera;R$ 0,00;2019-02-06 20:04:12;Não;;Sou iniciante, conheço alguns conceitos :);Estou no 5° período de Estatística na UFPE.
66;Lista de espera;R$ 0,00;2019-03-13 07:47:48;Não;;;
63;Lista de espera;R$ 0,00;2019-02-17 01:54:24;Não;;Sou leigo(a), quero saber mais sobre a área! :D;
22;Ingresso;R$ 0,00;2019-02-05 23:06:02;Não;;Sou iniciante, conheço alguns conceitos :);Accenture
