Ordem de inscrição;Tipo de ingresso;Valor;Data compra;Qual seu nível de conhecimento sobre Data Science?;De que empresa/instituição você é?
23;Ingresso;R$ 0,00;2018-02-28 12:44:46;Sou iniciante, conheço alguns conceitos :);Unibratec
89;Ingresso;R$ 0,00;2018-03-02 12:28:45;Sou iniciante, conheço alguns conceitos :);
7;Ingresso;R$ 0,00;2018-02-28 11:00:18;Trabalho na área;UFPE
59;Ingresso;R$ 0,00;2018-02-28 14:36:54;Sou leigo(a), quero saber mais sobre a área! :D;
5;Ingresso;R$ 0,00;2018-02-28 10:54:28;Trabalho na área;Accenture/UFPE
8;Ingresso;R$ 0,00;2018-02-28 11:11:00;Trabalho na área;UFPE
39;Ingresso;R$ 0,00;2018-02-28 13:42:44;Trabalho na área;CESAR
66;Ingresso;R$ 0,00;2018-02-28 15:10:41;Sou iniciante, conheço alguns conceitos :);UFPE
47;Ingresso;R$ 0,00;2018-02-28 13:53:40;Sou iniciante, conheço alguns conceitos :);Fundação Altino Ventura
36;Ingresso;R$ 0,00;2018-02-28 13:39:45;Sou leigo(a), quero saber mais sobre a área! :D;Accenture
32;Ingresso;R$ 0,00;2018-02-28 13:17:10;Sou iniciante, conheço alguns conceitos :);FBV
6;Ingresso;R$ 0,00;2018-02-28 10:57:04;Trabalho na área;Prefeitura Municipal de Olinda
74;Lista de espera;R$ 0,00;2018-02-28 15:59:03;Sou leigo(a), quero saber mais sobre a área! :D;Accenture
69;Lista de espera;R$ 0,00;2018-02-28 15:21:30;Sou iniciante, conheço alguns conceitos :);UFPE
10;Ingresso;R$ 0,00;2018-02-28 11:26:01;Trabalho na área;Universidade Federal de Pernambuco UFPE
60;Ingresso;R$ 0,00;2018-02-28 14:40:16;Trabalho na área;Genomika
46;Ingresso;R$ 0,00;2018-02-28 13:53:15;Sou iniciante, conheço alguns conceitos :);Accenture
88;Lista de espera;R$ 0,00;2018-03-02 11:33:15;Sou iniciante, conheço alguns conceitos :);UFPE
18;Ingresso;R$ 0,00;2018-02-28 11:51:20;Sou leigo(a), quero saber mais sobre a área! :D;UFPE
67;Ingresso;R$ 0,00;2018-02-28 15:10:41;Sou iniciante, conheço alguns conceitos :);UFPE
76;Lista de espera;R$ 0,00;2018-02-28 16:08:18;Sou leigo(a), quero saber mais sobre a área! :D;Universidade federal rural de pernambuco
81;Lista de espera;R$ 0,00;2018-02-28 17:15:29;Sou leigo(a), quero saber mais sobre a área! :D;UPE
44;Ingresso;R$ 0,00;2018-02-28 13:49:35;Sou leigo(a), quero saber mais sobre a área! :D;Accenture
73;Lista de espera;R$ 0,00;2018-02-28 15:54:18;Sou iniciante, conheço alguns conceitos :);Cesar&Campos Soluções
38;Ingresso;R$ 0,00;2018-02-28 13:42:10;Sou leigo(a), quero saber mais sobre a área! :D;Accenture
40;Ingresso;R$ 0,00;2018-02-28 13:43:18;Sou iniciante, conheço alguns conceitos :);Accenture
4;Ingresso;R$ 0,00;2018-02-28 06:33:07;Sou iniciante, conheço alguns conceitos :);Ufrpe
9;Ingresso;R$ 0,00;2018-02-28 11:12:35;Trabalho na área;Accenture
37;Ingresso;R$ 0,00;2018-02-28 13:42:07;Sou iniciante, conheço alguns conceitos :);Tupi Consultoria
34;Ingresso;R$ 0,00;2018-02-28 13:37:04;Sou leigo(a), quero saber mais sobre a área! :D;Ustore
25;Ingresso;R$ 0,00;2018-02-28 12:51:16;Sou iniciante, conheço alguns conceitos :);Ufpe
